timestep,rank(K),"rank(K,tol=1e-10)",sigma_min(K),sigma_max(K),cond(K),log|det K|,rank(A),sigma_min(A),rank(D),rank(S),sigma_min(S),vmin_base,vmin_joint,vmin_motor
0,30,30,0.008065274990238562,15.213779605723184,1886.3311696298624,-28.81001003227341,18,0.0141608146363844,12,18,0.014745327034394594,0.17410623864088798,0.5173569543843539,0.8378715888586203
1,30,30,0.008063873386989403,15.213765631509464,1886.6573049194944,-28.815629109345995,18,0.014158808632690706,12,18,0.014743378835399803,0.17399973236283403,0.517366846048824,0.8378876056770108
2,30,30,0.008062428230261187,15.21375127076461,1886.9936992011835,-28.821414327607272,18,0.014156739283695659,12,18,0.014741369188560682,0.17389031627409646,0.5173770014647296,0.8379040495554725
3,30,30,0.008060940754399398,15.21373653644618,1887.3400760504312,-28.827361991094023,18,0.014154605531558633,12,18,0.014739296830291251,0.17377904980567602,0.5173873218852514,0.8379207605740797
4,30,30,0.008059368199483975,15.213721168369283,1887.7064295614866,-28.833629884820017,18,0.014152352112091033,12,18,0.014737108577608475,0.17366058392506534,0.5173983025842357,0.8379385407497127
5,30,30,0.008057723686556724,15.213705277424145,1888.0897222631568,-28.840166498317842,18,0.014149992684647483,12,18,0.014734817289323514,0.17353765605040838,0.5174096887192621,0.8379569773872446
6,30,30,0.008056015567772534,15.21368890342996,1888.488021831927,-28.846952111295195,18,0.014147544299750882,12,18,0.014732440071893215,0.17340932626041752,0.5174215663279891,0.83797620984405
7,30,30,0.008054241926604139,15.213672072867851,1888.9018000086694,-28.853978742176455,18,0.014144998777691565,12,18,0.014729968461506355,0.17327711003710464,0.5174337941861925,0.837996009400564
8,30,30,0.008052409092583831,15.21365480922222,1889.3295949449223,-28.861237236079987,18,0.014142365362957923,12,18,0.014727411520731471,0.17314160077615773,0.5174463166346278,0.838016285928815
9,30,30,0.00805051143619031,15.213637134832933,1889.7727498953013,-28.868723310636337,18,0.014139637826048457,12,18,0.014724763287951675,0.1730014437761344,0.5174592579598387,0.8380372407017639
10,30,30,0.008048559303266985,15.213619071546066,1890.2288593898684,-28.876427574451444,18,0.01413683095952744,12,18,0.01472203827946454,0.17285777322445717,0.5174725125017033,0.8380587026223504
11,30,30,0.008046546899582523,15.213600639600578,1890.699306107307,-28.884345246211534,18,0.014133933887686495,12,18,0.014719225600599415,0.17271067210550534,0.5174860717889815,0.838080657959169
12,30,30,0.00804447834592044,15.213581861017163,1891.1831453598675,-28.892470323449686,18,0.014130954773753701,12,18,0.014716333430418033,0.17255981522843697,0.517499964917073,0.8381031538415514
13,30,30,0.008042354543720069,15.213562754644473,1891.6801879275633,-28.900796667836573,18,0.014127892469986277,12,18,0.014713360471017517,0.17240604103840196,0.517514113851836,0.8381260638935017
14,30,30,0.008040243825978344,15.213543713023086,1892.1744218586416,-28.90907247811344,18,0.014124844263596312,12,18,0.014710401147861006,0.172254823653388,0.5175280148762434,0.8381485724776938
15,30,30,0.00803812169210203,15.213524652576803,1892.6716010688249,-28.917365670994744,18,0.01412177363579333,12,18,0.014707419736116245,0.17210443946203333,0.5175418268631307,0.8381709368408291
