==============================================================================================================
Staggered vs Coupled ODE Solver — Fair Comparison (v2)
  Both solvers use Backward Euler for mechanical side.
  Only difference: coupled solves I,ω simultaneously; staggered solves I first (ω frozen), then ω.
==============================================================================================================

──────────────────────────────────────────────────────────────────────────────────────────────────────────────
SCENARIO: step  |  Step I_des=29A, τ_gravity=5N·m  |  t_end=10ms
──────────────────────────────────────────────────────────────────────────────────────────────────────────────
Fault               dt(ms)    max_I_C    max_I_S  ratio_I    max_ω_C    max_ω_S  ratio_ω
------------------------------------------------------------------------------------------
healthy                0.1     1.6239     1.5296     0.94   0.041107   0.040671     0.99
healthy                0.5     7.1628     6.7401     0.94   0.201928   0.182781     0.91
healthy                1.0    12.5115    11.5099     0.92   0.394296   0.357992     0.91
healthy                5.0    22.7619    21.0211     0.92   1.552050   2.940257     1.89
R_2x                   0.1     2.9867     2.9438     0.99   0.039203   0.039644     1.01
R_2x                   0.5    11.9310    11.6485     0.98   0.175914   0.173076     0.98
R_2x                   1.0    17.1680    16.6528     0.97   0.348456   0.353782     1.02
R_2x                   5.0    25.1544    24.3355     0.97   1.627695   2.184312     1.34
R_5x                   0.1     6.7860     6.7683     1.00   0.036422   0.036565     1.00
R_5x                   0.5    18.3581    18.2551     0.99   0.130459   0.130047     1.00
R_5x                   1.0    22.2530    22.1032     0.99   0.258418   0.263288     1.02
R_5x                   5.0    27.0521    26.8266     0.99   1.200751   1.462875     1.22
demag_50pct            0.1     1.5469     1.5431     1.00   0.020573   0.020535     1.00
demag_50pct            0.5     6.8481     6.7974     0.99   0.090262   0.091254     1.01
demag_50pct            1.0    11.8904    11.7194     0.99   0.150847   0.157657     1.05
demag_50pct            5.0    22.5687    22.0182     0.98   0.505380   0.551441     1.09
demag_75pct            0.1     1.5302     1.5393     1.01   0.010356   0.010300     0.99
demag_75pct            0.5     6.7766     6.7951     1.00   0.045835   0.045650     1.00
demag_75pct            1.0    11.7261    11.7398     1.00   0.079108   0.078830     1.00
demag_75pct            5.0    22.2547    22.2267     1.00   0.146210   0.148958     1.02
friction_2Nm           0.1     1.5799     1.5108     0.96   0.048382   0.023692     0.49
friction_2Nm           0.5     7.1605     6.7364     0.94   0.186668   0.207744     1.11
friction_2Nm           1.0    12.5468    11.5360     0.92   0.291351   0.381841     1.31
friction_2Nm           5.0    22.9535    21.1750     0.92   1.017976   3.558569     3.50
friction_5Nm           0.1     1.5368     1.5057     0.98   0.056074   0.031034     0.55
friction_5Nm           0.5     7.1796     6.7518     0.94   0.264349   0.295710     1.12
friction_5Nm           1.0    12.6302    11.6052     0.92   0.411452   0.581139     1.41
friction_5Nm           5.0    23.2903    21.4502     0.92   0.299810   4.490550    14.98
L_10x                  0.1     0.2553     0.1723     0.67   0.071226   0.038011     0.53
L_10x                  0.5     1.2304     0.8355     0.68   0.334613   0.187504     0.56
L_10x                  1.0     2.3401     1.6143     0.69   0.622442   0.370422     0.60
